"","Lower.Super.Output.Area","social_isolation_pc1"
"1","E01000027",-0.491910965735115
"2","E01000028",-0.474753035702263
"3","E01000029",-0.460232583975502
"4","E01000030",-0.346997292199739
"5","E01000031",0.170501177937639
"6","E01000032",-0.0115528391360937
"7","E01000110",0.182803345538065
"8","E01000111",0.0400270486112085
"9","E01000112",0.399445549212242
"10","E01000113",0.502028487267513
"11","E01000034",-0.805362901328553
"12","E01000037",-0.0419992964746437
"13","E01000038",-0.320869641646297
"14","E01000039",-0.119442036440902
"15","E01000063",-0.412049101882975
"16","E01000100",-0.244500460292779
"17","E01000101",-0.3185810803483
"18","E01000109",0.178823737775324
"19","E01000114",0.158945427424417
"20","E01000033",-0.593815268662921
"21","E01000060",-0.318948023302673
"22","E01000061",-0.38572115183557
"23","E01000062",-0.351312203895849
"24","E01000064",-0.444419901746686
"25","E01000065",-0.609182923968736
"26","E01000078",-0.334557738297609
"27","E01000080",-0.41343223639332
"28","E01000081",-0.356795094767517
"29","E01000082",-0.310617948992398
"30","E01000083",-0.322786094717681
"31","E01000102",-0.255686469194293
"32","E01000021",0.0503218697489316
"33","E01000022",-0.143436916649674
"34","E01000023",0.19377605860223
"35","E01000024",0.0106217560157731
"36","E01000025",-0.226147256831109
"37","E01000077",-0.343187326991726
"38","E01000015",0.111081825814964
"39","E01000016",-0.248650149863255
"40","E01000017",-0.19277692392574
"41","E01000018",-0.289607996479973
"42","E01000079",-0.463466976908813
"43","E01000035",-0.0573921888866252
"44","E01000036",0.315858862417736
"45","E01000107",-0.196471334441592
"46","E01000108",0.0362432819742234
"47","E01000066",0.25856436953588
"48","E01000067",0.258375853187279
"49","E01000069",0.535963550467481
"50","E01000070",0.504071697507707
"51","E01000071",0.431943117713732
"52","E01000057",-0.0398909793079482
"53","E01000073",-0.293890923597651
"54","E01000074",-0.305699679112309
"55","E01000075",-0.329671607712316
"56","E01000076",-0.238323055002968
"57","E01000013",-0.238084202065982
"58","E01000014",-0.188052563966295
"59","E01000059",-0.486507647462366
"60","E01000084",-0.154204863516548
"61","E01000085",-0.22500539196252
"62","E01000086",-0.193149079799086
"63","E01000103",-0.00271226664045265
"64","E01000104",-0.339905812785603
"65","E01000105",-0.516805495498777
"66","E01000106",-0.347668131630263
"67","E01000007",0.96650516207513
"68","E01000008",0.684621473806453
"69","E01000010",1.67280551300424
"70","E01000012",1.3500118859366
"71","E01000006",0.986211740376024
"72","E01000009",0.843116781315245
"73","E01000011",1.0197983569083
"74","E01000044",0.532198110087024
"75","E01000068",0.704026121875117
"76","E01000041",-0.0210493578395291
"77","E01000042",-0.0956488244431804
"78","E01000045",0.0575614468762883
"79","E01000046",-0.101874403641026
"80","E01000072",-0.376769976031552
"81","E01000054",-0.257174532979973
"82","E01000055",-0.078659720602829
"83","E01000056",-0.253447019077504
"84","E01000058",0.0373117041869724
"85","E01000095",0.427682084034835
"86","E01000040",-0.27324960033679
"87","E01000043",-0.0252220970908048
"88","E01000050",0.17832241972667
"89","E01000052",0.331746033500403
"90","E01000092",0.279774973469643
"91","E01000053",-0.256822306706518
"92","E01000087",-0.27025486781086
"93","E01000088",0.0912385134486195
"94","E01000089",0.210072427334711
"95","E01000090",0.523259149193721
"96","E01000048",0.127194453135432
"97","E01000049",0.104639154155798
"98","E01000051",0.0251925268448435
"99","E01033587",0.940012276539002
"100","E01033588",0.695936929817397
"101","E01000091",-0.228952896976567
"102","E01000093",-0.303089231750141
"103","E01000094",0.951503287426924
"104","E01000096",-0.10978228636087
"105","E01000019",-0.125528612163653
"106","E01000020",-0.257030236883356
"107","E01000097",-0.544411000524945
"108","E01000098",-0.151214343102919
"109","E01000099",-0.0913963691218662
"110","E01032580",0.547673203595146
